City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Balikpapan,ID,2022-05-27 23:36:56,-1.2675,116.8289,74.39,100,40,2.3,scattered clouds
206,Ribeira Grande,PT,2022-05-27 23:36:56,38.5167,-28.7,64.69,90,100,10.51,light rain
207,Pangnirtung,CA,2022-05-27 23:36:57,66.1451,-65.7125,21.61,90,97,2.42,overcast clouds
208,Tigil,RU,2022-05-27 23:36:57,57.8,158.6667,40.23,73,100,7.09,overcast clouds
209,Madimba,TZ,2022-05-27 23:36:57,-10.4,40.3333,71.82,85,48,12.26,scattered clouds
210,Luwuk,ID,2022-05-27 23:36:57,-0.9516,122.7875,80.82,77,99,1.32,light rain
211,Litovel,CZ,2022-05-27 23:36:57,49.7012,17.0762,50.7,99,48,3.78,scattered clouds
212,Saint George,US,2022-05-27 23:36:19,37.1041,-113.5841,97.39,9,0,21.85,clear sky
213,Pimentel,PE,2022-05-27 23:36:58,-6.8367,-79.9342,66.49,68,0,18.41,clear sky
214,Kidal,ML,2022-05-27 23:36:58,18.4411,1.4078,93.9,16,80,5.61,broken clouds
215,Bafq,IR,2022-05-27 23:30:28,31.6128,55.4107,72.52,20,0,8.48,clear sky
216,Hambantota,LK,2022-05-27 23:36:58,6.1241,81.1185,78.73,84,67,16.44,broken clouds
217,Kununurra,AU,2022-05-27 23:36:58,-15.7667,128.7333,66.18,72,90,0.0,overcast clouds
218,Oksfjord,NO,2022-05-27 23:36:59,70.2396,22.3479,42.01,93,86,10.65,overcast clouds
219,Kodiak,US,2022-05-27 23:29:08,57.79,-152.4072,63.91,45,0,4.61,clear sky
220,Asau,RO,2022-05-27 23:36:59,46.4333,26.4,58.95,79,21,3.83,few clouds
221,Sorland,NO,2022-05-27 23:36:59,67.667,12.6934,44.46,90,99,28.41,overcast clouds
222,Ostrovnoy,RU,2022-05-27 23:29:14,68.0531,39.5131,43.65,86,100,18.14,overcast clouds
223,King City,US,2022-05-27 23:37:00,36.2127,-121.126,83.91,34,100,14.38,overcast clouds
224,La Ronge,CA,2022-05-27 23:37:00,55.1001,-105.2842,64.65,39,75,11.5,broken clouds
225,Pingzhuang,CN,2022-05-27 23:38:00,42.0372,119.2889,75.16,29,51,8.63,broken clouds
226,Dejen,ET,2022-05-27 23:38:00,10.1667,38.1333,59.72,59,87,1.63,overcast clouds
227,Sept-Iles,CA,2022-05-27 23:38:01,50.2001,-66.3821,43.32,96,100,23.02,light intensity drizzle
228,Lebu,CL,2022-05-27 23:30:23,-37.6167,-73.65,45.9,78,100,15.88,overcast clouds
229,Yarada,IN,2022-05-27 23:38:01,17.65,83.2667,79.12,94,20,2.3,mist
230,Tomatlan,MX,2022-05-27 23:38:01,19.9333,-105.25,84.07,56,4,7.83,clear sky
231,Shingu,JP,2022-05-27 23:38:01,33.7333,135.9833,75.31,49,42,8.55,scattered clouds
232,Doka,SD,2022-05-27 23:38:02,13.5167,35.7667,85.69,12,13,4.07,few clouds
233,Westport,US,2022-05-27 23:38:02,41.1415,-73.3579,70.47,92,75,10.36,broken clouds
234,Tingi,TZ,2022-05-27 23:38:03,-11.3,35.0333,56.88,88,13,4.34,few clouds
235,Cape Town,ZA,2022-05-27 23:38:03,-33.9258,18.4232,62.38,86,0,5.75,clear sky
236,Yulara,AU,2022-05-27 23:38:03,-25.2406,130.9889,61.97,50,71,10.49,broken clouds
237,Odweyne,SO,2022-05-27 23:38:03,9.4092,45.064,75.6,58,97,10.47,overcast clouds
238,Katsuura,JP,2022-05-27 23:38:04,35.1333,140.3,70.54,72,14,11.88,few clouds
239,Miastko,PL,2022-05-27 23:38:04,54.0028,16.9826,43.83,93,65,12.93,broken clouds
240,Coquimbo,CL,2022-05-27 23:37:26,-29.9533,-71.3436,55.13,94,75,9.22,broken clouds
241,Muros,ES,2022-05-27 23:38:04,42.7762,-9.0603,64.09,68,70,9.33,broken clouds
242,Ponta Do Sol,PT,2022-05-27 23:38:04,32.6667,-17.1,66.83,72,75,8.14,broken clouds
243,Kuala Terengganu,MY,2022-05-27 23:38:05,5.3302,103.1408,78.75,94,20,3.44,few clouds
244,Port Elizabeth,ZA,2022-05-27 23:38:05,-33.918,25.5701,53.89,94,0,3.44,clear sky
245,Liepaja,LV,2022-05-27 23:36:52,56.5419,21.0367,49.98,81,0,13.8,clear sky
246,Lisala,CD,2022-05-27 23:38:05,2.15,21.5167,70.32,93,6,2.15,clear sky
247,Dingle,PH,2022-05-27 23:38:05,10.9995,122.6711,80.74,81,97,7.23,overcast clouds
248,Honiara,SB,2022-05-27 23:38:07,-9.4333,159.95,84.2,68,76,3.8,light rain
249,Chicama,PE,2022-05-27 23:38:07,-7.8447,-79.1469,61.34,79,20,6.93,few clouds
250,Iqaluit,CA,2022-05-27 23:38:08,63.7506,-68.5145,26.33,92,100,9.22,light snow
251,Riyadh,SA,2022-05-27 23:33:26,24.6877,46.7219,84.34,19,5,7.38,clear sky
252,Biloela,AU,2022-05-27 23:38:08,-24.4167,150.5,71.01,56,3,3.65,clear sky
253,Kuito,AO,2022-05-27 23:38:08,-12.3833,16.9333,52.52,48,0,2.86,clear sky
254,Hami,CN,2022-05-27 23:38:09,42.8,93.45,77.65,32,81,18.16,broken clouds
255,Abu Dhabi,AE,2022-05-27 23:38:09,24.4667,54.3667,86.11,55,0,2.3,clear sky
256,Sfantu Gheorghe,RO,2022-05-27 23:38:09,45.8667,25.7833,60.26,88,5,1.34,clear sky
257,Juneau,US,2022-05-27 23:36:22,58.3019,-134.4197,71.6,100,20,14.97,few clouds
258,Ndele,CF,2022-05-27 23:38:10,8.4109,20.6473,74.88,64,31,4.9,scattered clouds
259,Ranfurly,NZ,2022-05-27 23:38:10,-45.1333,170.1,57.11,60,55,5.5,broken clouds
260,Touros,BR,2022-05-27 23:29:11,-5.1989,-35.4608,76.03,92,100,12.08,light rain
