City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Sao Filipe,CV,2022-05-31 02:18:23,14.8961,-24.4956,74.32,84,19,5.7
282,Pangnirtung,CA,2022-05-31 02:18:23,66.1451,-65.7125,25.3,90,41,4.97
283,Primo Tapia,MX,2022-05-31 02:18:24,32.22,-116.9172,67.95,68,6,8.79
284,Jumla,NP,2022-05-31 02:18:24,29.2747,82.1838,62.76,52,1,3.22
285,Kawalu,ID,2022-05-31 02:18:25,-7.3817,108.2082,81.0,74,8,2.39
286,Remontnoye,RU,2022-05-31 02:18:25,46.5614,43.6501,68.94,50,6,8.39
287,Luderitz,NA,2022-05-31 02:18:25,-26.6481,15.1594,58.26,42,0,11.23
288,Sorong,ID,2022-05-31 02:18:26,-0.8833,131.25,85.82,64,67,4.88
289,Saint-Louis,SN,2022-05-31 02:18:26,16.3333,-15.0,84.7,28,35,11.56
290,Ternate,ID,2022-05-31 02:18:26,0.8,127.4,84.6,65,99,1.05
291,Kurilsk,RU,2022-05-31 02:18:27,45.2333,147.8833,50.0,79,35,12.19
292,Paidha,UG,2022-05-31 02:18:27,2.4167,30.9855,58.15,91,29,4.32
293,Inhambane,MZ,2022-05-31 02:18:27,-23.865,35.3833,69.01,70,42,9.13
